"screen_name","text","favorite_count","retweet_count","date_time","category","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","scorerow"
"AYICC","RT @ProVeg_Int Happy #InternationalSchoolMealsDay! Today we celebrate our @Momentum_UNFCCC Award! We're proud to have received recognition for our high-performing initiatives to make school meals more #climate efficient! 🙌 🌱#InternationalSchoolMealsDay2019 #plantbased @COP24 @UN https://t.co/bKlZ0kTufg",0,2,"Thu Mar 14 13:08 2019","vegan",0,5,0,1,3,0,1,6,0,6,22
"pkel","@guardian @veggieveganreci I’m a vegetarian. I loathe fake meat and cheese. I don’t get it. Enjoy all the wonderful bounty the earth provides. 
But for the chance to have a near authentic hot dog experience again, I’ll get off my high radish and bite yer feckin arm off (wouldn’t swallow)",3,0,"Wed May 01 09:46 2019","vegan",2,2,1,0,4,0,2,6,3,6,26
"ptvaubrey","@ClairesCrying Oh yikes. Are they usually pretty helpful for you? My friend has chronic migraines too and surprisingly shes had more help solving them with her chiropractor than the doctor. Hes really into natural healing but shes vegan too so what works for her is probably safe for you too",0,0,"Thu May 30 21:02 2019","vegan",0,3,0,0,5,1,1,6,1,6,23
"Alan_Watson_","@Andrews86495144 @Hugh6303 @JoannaBlythman @jadeo09 @theworstkirst @bbcgoodfood The results show there is a 94.8% confidence level that the vegan B12 results are not generated by chance (the null hypothesis) &amp; that the data are real.
That is far above a civil standard of proof (&gt;50%) &amp; effectively equivalent to the criminal standard ""beyond reasonable doubt""",5,3,"Thu May 30 16:00 2019","vegan",1,1,1,3,1,1,2,6,2,4,22
"HLawrence1011","RT @RSPCA_official 📰🏆 We're proud to bestow our Media #RSPCAHonours Award to @CloserOnline for their cracking coverage of chicken welfare and pet advice. We rely on publications such as this to educate people about important animal welfare issues and to ensure we're a nation of animal-lovers",0,4,"Sat Jun 29 07:04 2019","cage-free",0,2,0,1,2,0,1,6,2,4,18
"MaureenFeather2","@realDonaldTrump We WERE ALREADY well on the way to healing our wounds from 9/11 when you entered to make us less humane, less compassionate, less kind, less loving as Christ commands of us.  You ARE the Stone Age and you make us less admirable as a nation.  God is watching and not pleased.",0,0,"Wed Jul 17 12:46 2019","other",1,2,0,1,6,0,0,6,1,8,25
"stahlidarity","The problem isn’t that young men like [Kalief] Browder get written about, but that the success of ‘good kid’ stories depend on &amp; contribute to a moral economy that sorts incarcerated people into two categories: those who deserve humane conditions &amp; coverage, and those who don’t.",16,7,"Tue Aug 20 14:29 2019","other",2,5,0,1,3,1,2,6,1,8,29
"MisterGreenwich","RT @Yummzy_Desserts Looking for a cosy, quiet, and romantic place to have your perfect date and enjoy delicious vegan, sugar-free, gluten-free and keto  desserts? Look no further! 

We promise the highest quality desserts, a big smile and outstanding service to make your visit enjoyable &amp; memorable! https://t.co/AFwxtZ2ZWz",0,1,"Mon Sep 02 19:21 2019","vegan",0,4,0,1,9,1,3,6,2,13,39
"SwitchForGood","This #plantbased bolognese is comfort food that doesn't weigh you down. It’s a freezable, make-ahead, family-friendly meal you can make any time of year—and its made purely from plants. Enjoy! https://t.co/Hw0tRX94UE",2,0,"Mon Sep 02 21:17 2019","vegan",0,5,0,0,4,0,0,6,0,6,21
"zeldazonk2","@johnverco @DeepakChopra Your comment is predicated upon your own concept of civilization. The current system is not a thing I personally define as civilized. Nor is it rational, humane, compassionate or equitable. The mass of humanity does not enjoy all the sparkly things you list 😑",2,0,"Sat Sep 14 20:41 2019","other",0,1,0,0,3,0,0,6,0,7,17
